en         ,fr          ,ru                       ,ru_en
time       ,temps       ,время                    ,vremya
year       ,an          ,год                      ,god
people     ,gens        ,люди                     ,lyudi
way        ,façon       ,путь                     ,put'
day        ,journée     ,день                     ,den'
man        ,homme       ,человек                  ,chelovek
thing      ,chose       ,вещь                     ,veshch'
woman      ,femme       ,женщина                  ,zhenshchina
life       ,la vie      ,жизнь                    ,zhizn'
child      ,enfant      ,ребенок                  ,rebenok
world      ,monde       ,Мир                      ,Mir
school     ,école       ,школа                    ,shkola
state      ,Etat        ,государство              ,gosudarstvo
family     ,famille     ,семья                    ,sem'ya
student    ,étudiant    ,студент                  ,student
group      ,groupe      ,группа                   ,gruppa
country    ,pays        ,страна                   ,strana
problem    ,problème    ,проблема                 ,problema
hand       ,main        ,рука                     ,ruka
part       ,partie      ,часть                    ,chast'
place      ,endroit     ,место                    ,mesto
case       ,Cas         ,дело                     ,delo
week       ,la semaine  ,неделю                   ,nedelyu
company    ,compagnie   ,Компания                 ,Kompaniya
system     ,système     ,система                  ,sistema
program    ,programme   ,программа                ,programma
question   ,question    ,вопрос                   ,vopros
work       ,travail     ,Работа                   ,Rabota
government ,gouvernement,правительство            ,pravitel'stvo
number     ,nombre      ,номер                    ,nomer
night      ,nuit        ,ночь                     ,noch'
point      ,point       ,точка                    ,tochka
home       ,maison      ,Главная                  ,Glavnaya
water      ,eau         ,воды                     ,vody
room       ,chambre     ,комната                  ,komnata
mother     ,mère        ,мама                     ,mama
area       ,région      ,площадь                  ,ploshchad'
money      ,argent      ,Деньги                   ,Den'gi
story      ,récit       ,история                  ,istoriya
fact       ,fait        ,факт                     ,fakt
month      ,mois        ,месяц                    ,mesyats
lot        ,lot         ,много                    ,mnogo
right      ,droite      ,правильно                ,pravil'no
study      ,étude       ,изучение                 ,izucheniye
book       ,livre       ,книга                    ,kniga
eye        ,œil         ,глаз                     ,glaz
job        ,emploi      ,работа                   ,rabota
word       ,mot         ,слово                    ,slovo
business   ,Entreprise  ,бизнес                   ,biznes
issue      ,problème    ,вопрос                   ,vopros
side       ,côté        ,боковая сторона          ,bokovaya storona
kind       ,gentil      ,своего рода              ,svoyego roda
head       ,tête        ,глава                    ,glava
house      ,maison      ,дом                      ,dom
service    ,un service  ,оказание услуг           ,okazaniye uslug
friend     ,ami         ,друг                     ,drug
father     ,père        ,отец                     ,otets
power      ,Puissance   ,мощность                 ,moshchnost'
hour       ,heure       ,час                      ,chas
game       ,Jeu         ,игра                     ,igra
line       ,ligne       ,линия                    ,liniya
end        ,fin         ,конец                    ,konets
member     ,membre      ,член                     ,chlen
law        ,loi         ,закон                    ,zakon
car        ,voiture     ,автомобиль               ,avtomobil'
city       ,ville       ,город                    ,gorod
community  ,communauté  ,сообщество               ,soobshchestvo
name       ,prénom      ,имя                      ,imya
president  ,Président   ,президент                ,prezident
team       ,équipe      ,команда                  ,komanda
minute     ,minute      ,минут                    ,minut
idea       ,idée        ,идея                     ,ideya
kid        ,enfant      ,дитя                     ,ditya
body       ,corps       ,тело                     ,telo
information,information ,Информация               ,Informatsiya
back       ,arrière     ,назад                    ,nazad
parent     ,parent      ,родитель                 ,roditel'
face       ,visage      ,лицо                     ,litso
others     ,autres      ,другие                   ,drugiye
level      ,niveau      ,уровень                  ,uroven'
office     ,Bureau      ,офис                     ,ofis
door       ,porte       ,дверь                    ,dver'
health     ,santé       ,здоровье                 ,zdorov'ye
person     ,la personne ,человек                  ,chelovek
art        ,art         ,Изобразительное искусство,Izobrazitel'noye iskusstvo
war        ,guerre      ,война                    ,voyna
history    ,histoire    ,история                  ,istoriya
party      ,fête        ,вечеринка                ,vecherinka
result     ,résultat    ,результат                ,rezul'tat
change     ,changement  ,изменение                ,izmeneniye
morning    ,Matin       ,утро                     ,utro
reason     ,raison      ,причина                  ,prichina
research   ,recherche   ,исследование             ,issledovaniye
girl       ,fille       ,девушка                  ,devushka
guy        ,gars        ,парень                   ,paren'
moment     ,moment      ,момент                   ,moment
air        ,air         ,воздух                   ,vozdukh
teacher    ,prof        ,учитель                  ,uchitel'
force      ,Obliger     ,сила                     ,sila
education  ,éducation   ,образование              ,obrazovaniye
